序号,实词,释义与经典例句
70,舍,①房屋，住宅 土地平旷，屋舍俨然，有良田、美池、桑竹之属 《桃花源记》；客舍青青柳色新 《送元二使安西》②舍弃，放下 便舍船，从口入 《桃花源记》；舍鱼而取熊掌者也 《鱼我所欲也》；锲而不舍，金石可镂 《劝学》③同 “赦”，赦免 舍其罪，言其功 《左传》；万钟则不辩礼义而受之，万钟于我何加焉！ 《鱼我所欲也》
71,涉,①趟水过河，渡 楚人有涉江者，其剑自舟中坠于水 《吕氏春秋两则》；循表而夜涉，溺死者千有余人 《吕氏春秋两则》②经历，经过 涉寒暑不溃 《卖柑者言》；涉世未深 《成语》③阅览，阅读 但当涉猎，见往事耳 《孙权劝学》；涉笔成趣 《成语》
72,生,①（草木）生长，出生，诞生 橘生淮南则为橘，生于淮北则为枳 《橘逾淮为枳》；今民生长于齐不盗，入楚则盗，得无楚之水土使民善盗耶？ 《橘逾淮为枳》；仲永生五年，未尝识书具，忽啼求之 《伤仲永》；虽有天下易生之物也，一日暴之，十日寒之，未有能生者也 《孔孟论学》；少杂树，多松，生石罅，皆平顶 《登泰山记》②活着，生存 生于忧患，死于安乐 《生于忧患，死于安乐》；吾闻二世少子也，不当立 《陈涉世家》③一生，一辈子 穷予生之光阴以疗梅也哉 《病梅馆记》；人生自古谁无死，留取丹心照汗青 《过零丁洋》④生活，生计，生存期间 而乡邻之生日蹙 《捕蛇者说》；可怜身上衣正单，心忧炭贱愿天寒 《卖炭翁》
73,胜,①胜利，战胜 彼竭我盈，故克之 《曹刿论战》；此所谓战胜于朝廷 《邹忌讽齐王纳谏》；射者中，弈者胜，觥筹交错，起坐而喧哗者，众宾欢也 《醉翁亭记》②超过，胜过 日出江花红胜火，春来江水绿如蓝 《忆江南》；此时无声胜有声 《琵琶行》③尽，完 臣不胜受恩感激 《出师表》；何可胜道也哉 《石钟山记》；不胜枚举 《成语》④优美的，美好的 予观夫巴陵胜状，在洞庭一湖 《岳阳楼记》；江山如此多娇，引无数英雄竞折腰 《沁园春・雪》
74,师,①军队 十年春，齐师伐我 《曹刿论战》；王师北定中原日，家祭无忘告乃翁 《示儿》②老师，师父 温故而知新，可以为师矣 《论语》；师者，所以传道受业解惑也 《师说》③学习，效法 吾师道也，夫庸知其年之先后生于吾乎？ 《师说》；不耻相师 《师说》④有专门技艺的人 巫医乐师百工之人，不耻相师 《师说》；师旷之聪，不以六律，不能正五音 《孟子》
75,施,①施行，实施 悉以咨之，然后施行 《出师表》；度不中而轻发，徒糜弹药，无益吾事 《冯婉贞》②给予，施舍 施与贫困 《成语》；愿无伐善，无施劳 《论语》③设置，安放 施八尺屏障，口技人坐屏障中 《口技（林嗣环）》；于厅事之东北角，施八尺屏障 《口技（林嗣环）》④恩惠，好处 小惠未遍，民弗从也 《曹刿论战》；大王加惠，以大易小，甚善 《公输》
76,实,①果实，种子 叶徒相似，其实味不同 《橘逾淮为枳》；春华秋实 《成语》②实际，事实 名实已明，而天下之理得矣 《答司马谏议书》；实冀三横唯余其一 《周处》③诚实，真实 此皆良实，志虑忠纯，是以先帝简拔以遗陛下 《出师表》；侍中、侍郎郭攸之、费祎、董允等，此皆良实，志虑忠纯 《出师表》④确实，实在 实无反心 《史记》；实迷途其未远，觉今是而昨非 《归去来兮辞》
77,食,①吃，吃饭 衣食所安，弗敢专也，必以分人 《曹刿论战》；便要还家，设酒杀鸡作食 《桃花源记》；一箪食，一豆羹，得之则生，弗得则死 《鱼我所欲也》②食物，粮食 衣食所安，弗敢专也 《曹刿论战》；设酒杀鸡作食 《桃花源记》；足食足兵，民信之矣 《论语》③同 “饲”，喂养 食马者不知其能千里而食也 《马说》；食之不能尽其材 《马说》
78,使,①命令，派遣（支使，役使） 扶苏以数谏故，上使外将兵 《陈涉世家》；卒见使于一鼠，堕此虫之计中 《黠鼠赋》；得无楚之水土使民善盗耶？ 《橘逾淮为枳》②让，叫，令；使得，致使 使童子烛之，有橐中空 《黠鼠赋》；必能使行阵和睦，优劣得所 《出师表》；为一说，使与书俱 《黄生借书说》；不使学 《伤仲永》；不宜偏私，使内外异法也 《出师表》；使弈秋诲二人弈 《孔孟论学》③出使 晏子将使楚 《橘逾淮为枳》；使于四方，不辱君命 《论语》④使者，使臣 齐使使问之 《晏子春秋》；大王遣一介之使至赵，赵立奉璧来 《廉颇蔺相如列传》
79,释,①放下，放开 有卖油翁释担而立，睨之，久而不去 《卖油翁》；释之，去之 《聊斋志异》②解释，说明 释其义，明其理 《成语》；《说文解字》，释字之书也 《说文解字》③同 “舍”，舍弃 释其罪，言其功 《左传》；万钟则不辩礼义而受之，万钟于我何加焉！ 《鱼我所欲也》
80,恃,依赖，倚仗，依靠 富者曰：“子何恃而往？” 曰：“吾一瓶一钵足矣。” 《为学》；恃才傲物 《成语》；子何恃而往？ 《为学》
81,属,①（zhǔ）同 “嘱”，嘱托 属予作文以记之 《岳阳楼记》；属以后事 《三国志》②部属，隶属，归属 召令徒属曰：“公等遇雨，皆已失期，失期当斩。” 《陈涉世家》；忠之属也 《曹刿论战》③类，一类 有良田、美池、桑竹之属 《桃花源记》；忠之属也 《曹刿论战》；物以类聚，人以群分 《周易》④像，类似 神情与苏、黄不属 《核舟记》；有类橐驼者，故乡人号之 “驼” 《种树郭橐驼传》
82,说,①陈述，解说，讲 及郡下，诣太守，说如此 《桃花源记》；请说之 《公输》；说尽心中无限事 《琵琶行》②言论，主张，学说 辟邪说，难壬人，不为拒谏 《答司马谏议书》；为一说，使与书俱 《黄生借书说》③古代的一种文体 故为之说，以俟夫观人风者得焉 《捕蛇者说》；《马说》《师说》《捕蛇者说》④（shuì）劝说，说服 或说处杀虎斩蛟，实冀三横唯余其一 《周处》；说备使抚表众 《三国志》⑤（yuè）同 “悦”，喜欢，高兴 公输盘不说 《公输》；学而时习之，不亦说乎？ 《论语》
83,素,①白的，没有染色的 素蟫灰丝时蒙卷轴 《黄生借书说》；素湍绿潭，回清倒影 《三峡》②朴素，不加装饰的 可以调素琴，阅金经 《陋室铭》；素面朝天 《成语》③向来，一向 吴广素爱人，士卒多为用者 《陈涉世家》；素不相识 《成语》；吾素知汝平生谨慎 《出师表》
84,汤,①热水，开水 日初出沧沧凉凉，及日中则如探汤，此不为近者热而远者凉乎？ 《两小儿辩日》；媵人持汤沃灌，以衾拥覆，久而乃和 《送东阳马生序》②食物煮后所得的汁水 衔远山，吞长江，浩浩汤汤，横无际涯 《岳阳楼记》；汤汤乎若流水 《伯牙鼓琴》③同 “烫”，用热水焐 疾在腠理，汤熨之所及也 《扁鹊见蔡桓公》
85,痛,痛心，悲痛 未尝不叹息痛恨于桓、灵也 《出师表》；痛定思痛，痛何如哉 《指南录后序》；吾上恐负朝廷，下恐愧吾师也 《左忠毅公逸事》
86,亡,①逃亡，逃跑 今亡亦死，举大计亦死，等死，死国可乎？ 《陈涉世家》；广故数言欲亡，忿恚尉，令辱之，以激怒其众 《陈涉世家》②灭亡，死亡 出则无敌国外患者，国恒亡 《生于忧患，死于安乐》；此诚危急存亡之秋也 《出师表》；亡羊补牢，未为迟也 《战国策》③失掉，失去 为蛇足者，终亡其酒 《中国古代寓言四则》；亡羊补牢 《战国策》④（wú）通 “无”，没有 河曲智叟亡以应 《中国古代神话三则》；亡何国变，宁南死 《柳敬亭传》
87,为,①做，干 缚者曷为者也？ 《橘逾淮为枳》；行拂乱其所为 《生于忧患，死于安乐》；今吾嗣为之十二年，几死者数矣 《捕蛇者说》；向吾不为斯役，则久已病矣 《捕蛇者说》；若有作奸犯科及为忠善者，宜付有司论其刑赏 《出师表》②雕刻，制作，制造 能以径寸之木，为宫室、器皿、人物，以至鸟兽、木石，罔不因势象形，各具情态 《核舟记》；通计一舟，为人五；为窗八；为箬篷，为楫，为炉，为壶，为手卷，为念珠各一 《核舟记》；盖简桃核修狭者为之 《核舟记》；吾从北方闻子为梯，将以攻宋 《公输》③修筑，修建 为坛而盟，祭以尉首 《陈涉世家》；为宫室之美、妻妾之奉、所识穷乏者得我与？ 《鱼我所欲也》④堆积 譬如为山，未成一篑，止，吾止也 《孔孟论学》；为山九仞，功亏一篑 《尚书》⑤酿造 酿泉为酒，泉香而酒洌 《醉翁亭记》；为酒甚美 《晏子春秋》⑥写，署，题 并自为其名 《伤仲永》；为一说，使与书俱 《黄生借书说》；故为之说，以俟夫观人风者得焉 《捕蛇者说》⑦叫作，称为 陈涉乃立为王，号为张楚 《陈涉世家》；功宜为王 《陈涉世家》；中峨冠而多髯者为东坡 《核舟记》；中轩敞者为舱 《核舟记》；义兴人谓为三横，而处尤剧 《周处》⑧担任，充当 是以众议举宠为督 《出师表》；为屯长 《陈涉世家》；陈胜自立为将军，吴广为都尉 《陈涉世家》；若为佣耕，何富贵也？ 《陈涉世家》⑨作为，当作 其诗以养父母、收族为意 《伤仲永》；今夫弈之为数，小数也 《孔孟论学》；以君为长者，故不错意也 《唐雎不辱使命》⑩是 中峨冠而多髯者为东坡 《核舟记》；中轩敞者为舱 《核舟记》；义兴人谓为三横，而处尤剧 《周处》；为是其智弗若与？曰：非然也 《孔孟论学》；乌在其为智也 《黠鼠赋》；项燕为楚将，数有功，爱士卒，楚人怜之 《陈涉世家》
88,务,①致力，从事 此三者皆务欲得其前利，而不顾其后之有患也 《螳螂捕蝉》；内立法度，务耕织，修守战之具 《过秦论》②事务，事情 教以慎于接物，推贤进士为务 《报任安书》；世之学者，忘本逐末，而学不成，何异于是！ 《卖柑者言》③一定，务必 务必要注意安全 《成语》；务使天下共享太平之福 《明史》
89,徙,迁移 非死则徙尔 《捕蛇者说》；号呼而转徙，饥渴而顿踣 《捕蛇者说》；徙于南冥 《庄子・逍遥游》
90,狭,①狭窄，窄小 初极狭，才通人 《桃花源记》；盖简桃核修狭者为之 《核舟记》；其船背稍夷，则题名其上，文曰 “天启壬戌秋日，虞山王毅叔远甫刻”，细若蚊足，钩画了了，其色墨 《核舟记》②心胸、气量、见识等不宏大宽广 狭隘 《成语》；狭路相逢勇者胜 《史记》
91,鲜,①鲜艳，鲜明 芳草鲜美，落英缤纷 《桃花源记》；醉醇醴而饫肥鲜者 《卖柑者言》②少，不多 菊之爱，陶后鲜有闻 《爱莲说》；鲜为人知 《成语》③新鲜 无鲜肥滋味之享 《送东阳马生序》；鲜鱼、鲜肉 《日常用语》
92,向,①朝着，对着 狼不敢前，眈眈相向 《狼》；向为何声，岂其鬼耶？ 《黠鼠赋》；便扶向路，处处志之 《桃花源记》②从前，过去 便扶向路，处处志之 《桃花源记》；向吾不为斯役，则久已病矣 《捕蛇者说》③将近，接近 向晚意不适，驱车登古原 《乐游原》；向夕长风起，寒云没西山 《中夜起望西园值月上》
93,效,①效果，功效 不效，则治臣之罪 《出师表》；愿陛下托臣以讨贼兴复之效 《出师表》；斯用兵之效也 《六国论》②仿效，模仿 王效其作为 《卖柑者言》；上行下效 《成语》③献出，尽力 效命于疆场 《成语》；愿陛下托臣以讨贼兴复之效，不效，则治臣之罪 《出师表》
94,信,①信实，说实话，诚实 必以信 《曹刿论战》；牺牲玉帛，弗敢加也，必以信 《曹刿论战》②信用，讲信用 小信未孚，神弗福也 《曹刿论战》；忌不自信，而复问其妾曰：“吾孰与徐公美？” 《邹忌讽齐王纳谏》③相信，信任 忌不自信 《邹忌讽齐王纳谏》；愿陛下亲之信之，则汉室之隆，可计日而待也 《出师表》④确实，实在 信可乐也 《兰亭集序》；信手拈来 《成语》⑤同 “伸”，伸张 欲信大义于天下 《隆中对》；信义著于四海 《三国志》
95,行,①行走 山行六七里，渐闻水声潺潺而泻出于两峰之间者，酿泉也 《醉翁亭记》；行者休于树，前者呼，后者应，伛偻提携，往来而不绝者，滁人游也 《醉翁亭记》；复行数十步，豁然开朗 《桃花源记》；蛟或浮或没，行数十里，处与之俱 《周处》②爬行 斗折蛇行，明灭可见 《小石潭记》；行数十里，处与之俱 《周处》③通行，出行 皇帝行宫在碧霞元君祠东 《登泰山记》；行装，行李 《日常用语》④行军 行收兵 《陈涉世家》；行军用兵之道 《出师表》⑤做，实行，实施，从事 虽生知安行之圣，不废困勉下学之功也 《潍县署中寄舍弟墨第一书》；悉以咨之，然后施行 《出师表》；乃行卜 《陈涉世家》⑥品德，品行 将军向宠，性行淑均，晓畅军事，试用于昔日，先帝称之曰能，是以众议举宠为督 《出师表》；行比伯夷，置以为相也 《庄子》⑦排行，辈分 陈胜、吴广皆次当行，为屯长 《陈涉世家》；行阵和睦，优劣得所 《出师表》
96,形,①身体，形体 无案牍之劳形 《陋室铭》；形单影只 《成语》②形状，样子 罔不因势象形，各具情态 《核舟记》；日星隐曜，山岳潜形 《岳阳楼记》；形影相吊 《陈情表》③表现，显现 喜怒不形于色 《三国志》；形诸笔墨 《成语》④对照，对比 相形见绌 《成语》；形影不离 《成语》
97,兴,①起，兴起 一鼓作气，再而衰，三而竭 《曹刿论战》；困于心，衡于虑，而后作；征于色，发于声，而后喻 《生于忧患，死于安乐》②兴办，创办 越明年，政通人和，百废具兴 《岳阳楼记》；兴复汉室，还于旧都 《出师表》③兴盛，振兴，复兴 攘除奸凶，兴复汉室，还于旧都 《出师表》；愿陛下托臣以讨贼兴复之效，不效，则治臣之罪 《出师表》④兴致，兴趣 兴高采烈 《成语》；乘兴而来，兴尽而返 《世说新语》
98,修,①修建，修造 乃重修岳阳楼，增其旧制，刻唐贤今人诗赋于其上 《岳阳楼记》；修守战之具 《过秦论》②修正，修改 并云欲自修改而年已蹉跎，终无所成 《周处》；修书一封 《日常用语》③长，高 盖简桃核修狭者为之 《核舟记》；邹忌修八尺有余，而形貌昳丽 《邹忌讽齐王纳谏》④学习，锻炼 修己以安人 《论语》；修身齐家治国平天下 《大学》⑤善，美好 老冉冉其将至兮，恐修名之不立 《离骚》；修姱以鞿羁兮，謇朝谇而夕替 《离骚》
99,徐,缓慢，缓缓地，慢慢地 清风徐来，水波不兴 《赤壁赋》；徐以杓酌油沥之，自钱孔入，而钱不湿 《卖油翁》；徐而察之，则山下皆石穴罅 《石钟山记》
100,许,①表示约数，左右，上下 高可二黍许 《核舟记》；潭中鱼可百许头，皆若空游无所依 《小石潭记》；舟首尾长约八分有奇，高可二黍许 《核舟记》②答应，允许 遂许先帝以驱驰 《出师表》；安陵君其许寡人 《唐雎不辱使命》③赞同，赞成 杂然相许 《愚公移山》；时人莫之许也 《隆中对》④这样，如此 问渠那得清如许？为有源头活水来 《观书有感》；如许美景，令人陶醉 《日常用语》
101,寻,①找寻，寻求，探求 乃入吴寻二陆 《周处》；寻向所志，遂迷，不复得路 《桃花源记》；寻病终 《桃花源记》②不久，随即 未果，寻病终 《桃花源记》；寻蒙国恩，除臣洗马 《陈情表》③古代长度单位，八尺为一寻 飞来峰上千寻塔，闻说鸡鸣见日升 《登飞来峰》；千寻铁锁沉江底，一片降幡出石头 《西塞山怀古》
102,业,①事业，功业 先帝创业未半，而中道崩殂 《出师表》；晋太元中，武陵人捕鱼为业 《桃花源记》②职业 晋太元中，武陵人捕鱼为业 《桃花源记》；业精于勤，荒于嬉 《进学解》③已经 若业为吾所有，必高束焉，庋藏焉 《黄生借书说》；业已完成 《日常用语》④学业 其业有不精，德有不成者，非天质之卑，则心不若余之专耳 《送东阳马生序》；业精于勤 《进学解》
103,遗,①遗留，留下 深追先帝遗诏 《出师表》；以光先帝遗德，恢弘志士之气 《出师表》②（wèi）留给，送给，馈赠 是以先帝简拔以遗陛下 《出师表》；父母岁有裘葛之遗，无冻馁之患矣 《送东阳马生序》③遗失，丢失 秦无亡矢遗镞之费，而天下诸侯已困矣 《过秦论》；路不拾遗，夜不闭户 《成语》④剩余，残存 地有遗利，民有余力 《论贵粟疏》；遗风余俗 《汉书》
104,贻,①赠送，给予 尝贻余核舟一，盖大苏泛赤壁云 《核舟记》；贻笑大方 《成语》②遗留，留下 贻害无穷 《成语》；贻人口实 《成语》
105,夷,①少数民族 西和诸戎，南抚夷越 《隆中对》；夷狄之有君，不如诸夏之亡也 《论语》②平坦 其船背稍夷，则题名其上 《核舟记》；夫夷以近，则游者众；险以远，则至者少 《游褒禅山记》③平定，平息 今操芟夷大难，略已平矣 《赤壁之战》；夷灭三族 《史记》④和悦，平静 言和而色夷 《宋东阳马生序》；心旷神怡 《岳阳楼记》
106,异,①不同，不同的 览物之情，得无异乎？ 《岳阳楼记》；或异二者之为，何哉？ 《岳阳楼记》；陟罚臧否，不宜异同 《出师表》；不宜偏私，使内外异法也 《出师表》②特别的，奇特的，奇异的 然往来视之，觉无异能者 《黔之驴》；永州之野产异蛇，黑质而白章 《捕蛇者说》；奇山异水，天下独绝 《与朱元思书》③其他的，别的 日 “姑俟异日观” 云尔 《黄生借书说》；异日，客从外来，与坐谈 《邹忌讽齐王纳谏》④对…… 感到惊异 父异焉，借旁近与之 《伤仲永》；渔人甚异之，复前行，欲穷其林 《桃花源记》
107,易,①容易 天下事有难易乎？为之，则难者亦易矣；不为，则易者亦难矣 《为学》；易如反掌 《成语》②交换，更换 寒暑易节，始一反焉 《愚公移山》；寡人欲以五百里之地易安陵，安陵君其许寡人 《唐雎不辱使命》③改变，变化 世易时移，变法宜矣 《吕氏春秋》；移风易俗 《荀子》④轻视，看不起 高祖为亭长，素易诸吏 《史记》；易与耳 《史记》
108,诣,①拜访，谒见 酒酣，吏二缚一人诣王 《橘逾淮为枳》；及郡下，诣太守，说如此 《桃花源记》；元直走马荐诸葛，遂诣亮，凡三往，乃见 《隆中对》②到，到达 诣太守，说如此 《桃花源记》；乃诣丞相府归马 《史记》③学业、技艺所达到的程度 苦心孤诣 《成语》；诣极 《日常用语》
109,益,①增长，增加 所以动心忍性，曾益其所不能 《生于忧患，死于安乐》；益习其声，又近出前后，终不敢搏 《黔之驴》②好处，利益 必能裨补阙漏，有所广益 《出师表》；满招损，谦受益 《尚书》③更，更加 益习其声，又近出前后，终不敢搏 《黔之驴》；香远益清，亭亭净植 《爱莲说》④逐渐，渐渐地 益习其声，又近出前后，终不敢搏 《黔之驴》；益慕圣贤之道 《送东阳马生序》
110,阴,①山的北面，水的南面 其阴，济水东流 《登泰山记》；达于汉阴，可乎？ 《愚公移山》②阴天，没有阳光 朝晖夕阴，气象万千 《岳阳楼记》；树林阴翳，鸣声上下，游人去而禽鸟乐也 《醉翁亭记》③阴暗，阴冷 阴风怒号，浊浪排空 《岳阳楼记》；阴惨惨 《日常用语》④暗中，暗地里 阴知奸党名姓，一时收禽 《张衡传》；阴奉阳违 《成语》
111,引,①拉，牵 友人惭，下车引之 《陈太丘与友期行》；见人方引婴儿而欲投之江中 《吕氏春秋两则》②引导，带领 引喻失义，以塞忠谏之路也 《出师表》；引兵西向 《史记》③取过来，拿出 引壶觞以自酌，眄庭柯以怡颜 《归去来兮辞》；引刀成一快，不负少年头 《狱中题壁》④延长，伸长 常有高猿长啸，属引凄异，空谷传响，哀转久绝 《三峡》；引颈而望 《成语》
112,盈,①满，充满 而计其长，曾不盈寸 《核舟记》；盈虚者如彼，而卒莫消长也 《赤壁赋》②增长，多余，旺盛 彼竭我盈，故克之 《曹刿论战》；恶积祸盈，理至焦烂 《与陈伯之书》③圆满，完整 盈缩之期，不但在天；养怡之福，可得永年 《龟虽寿》；盈亏 《日常用语》
113,余,①我 余闻而愈悲 《捕蛇者说》；余幼时即嗜学 《送东阳马生序》②剩下的，多余的 实冀三横唯余其一 《周处》；车六七百乘，骑千余，卒数万人 《陈涉世家》；其级七千有余 《登泰山记》③遗留，剩下 昔人已乘黄鹤去，此地空余黄鹤楼 《黄鹤楼》；余音绕梁，三日不绝 《列子》④我，我的 余不佞，独持迂论 《答司马谏议书》；余观夫巴陵胜状，在洞庭一湖 《岳阳楼记》
114,御,①抵挡，抵御 以啮人，无御之者 《捕蛇者说》；而御六气之辩，以游无穷者，彼且恶乎待哉？ 《庄子・逍遥游》②驾驶，驾驭 虽乘奔御风，不以疾也 《三峡》；御车，御马 《日常用语》③侍奉，伺候 御于君所 《论语》；御膳，御酒 《日常用语》④皇帝的，与皇帝有关的 御驾亲征 《成语》；御花园，御书房 《日常用语》
115,缘,①沿着，顺着 缘溪行，忘路之远近 《桃花源记》；缘木求鱼 《孟子》②原因，缘故 不识庐山真面目，只缘身在此山中 《题西林壁》；无缘无故 《成语》③缘分，机缘 有缘千里来相会，无缘对面不相逢 《成语》；金玉良缘 《红楼梦》④攀援，攀登 缘崖而登 《成语》；缘木求鱼 《孟子》
116,远,①距离远，与 “近” 相对 可远观而不可亵玩焉 《爱莲说》；衔远山，吞长江，浩浩汤汤，横无际涯 《岳阳楼记》；忘路之远近 《桃花源记》②时间久，久远 其远古刻尽漫失 《登泰山记》；远在天边，近在眼前 《成语》③差距大 今吾以十倍之地，请广于君，而君逆寡人者，轻寡人与？ 《唐雎不辱使命》；相差甚远 《成语》④深远，深奥 其旨远，其辞文 《周易》；高瞻远瞩 《成语》
117,云,①说 此中人语云：“不足为外人道也。” 《桃花源记》；曰 “姑俟异日观” 云尔 《黄生借书说》②句首、句中、句末语气词，无实义 曰 “姑俟异日观” 云尔 《黄生借书说》；云谁之思？西方美人 《诗经》③云彩，云气 天门云 《登泰山记》；极天云一线异色，须臾成五采 《登泰山记》；公输盘为楚造云梯之械，成，将以攻宋 《公输》④像云一样高的 云梯 《公输》；云帆济沧海 《行路难》
118,章,①花纹 黑质而白章 《捕蛇者说》；终岁不制衣，而文彩成章 《卖柑者言》②印章 其船背稍夷，则题名其上，文曰 “天启壬戌秋日，虞山王毅叔远甫刻”，细若蚊足，钩画了了，其色墨 《核舟记》；盖章，印章 《日常用语》③文章，作品 文章本天成，妙手偶得之 《文章》；章回体小说 《文学术语》④条理，秩序 杂乱无章 《成语》；约法三章 《史记》
119,知,①知道，了解 西蜀之去南海，不知几千里也 《为学》；始知为人情所患，有自改意 《周处》；以我酌油知之 《卖油翁》；不可知其源 《小石潭记》；由此观之，王之蔽甚矣 《邹忌讽齐王纳谏》②认识，识别 知否，知否？应是绿肥红瘦 《如梦令》；知子莫若父 《成语》③同 “智”，智慧，聪明 知者不惑，仁者不忧，勇者不惧 《论语》；两小儿笑曰：“孰为汝多知乎？” 《两小儿辩日》④主持，管理 知政失者在草野，知屋漏者在宇下 《论衡》；知县，知府 《古代官职》
120,止,①停止，停下 又一大儿醒，絮絮不止 《口技（林嗣环）》；妇拍儿亦渐拍渐止 《口技（林嗣环）》；未成一篑，止，吾止也 《孔孟论学》；一狼得骨止，一狼仍从 《狼》；既止复作 《黠鼠赋》②阻止，禁止 拊床而止之，既止复作 《黠鼠赋》；止戈为武 《左传》③只是，仅仅 止有剩骨 《狼》；止增笑耳 《狼》；非独贤者有是心也，人皆有之，贤者能勿丧耳 《鱼我所欲也》④居住，止息 止宿 《日常用语》；止息 《成语》
121,致,①达到，实现 非宁静无以致远 《诫子书》；不专心致志，则不得也 《黄生借书说》②得到，获得 余幼好书，家贫难致 《黄生借书说》；无从致书以观 《送东阳马生序》③招致，引来 以致天下之士 《过秦论》；致食客三千人 《史记》④尽，极 致殷勤之意 《赤壁之战》；致仕，致事 《古代官职》⑤同 “至”，到 自董卓已来，豪杰并起，跨州连郡者不可胜数 《隆中对》；致之何由？ 《列子》
122,质,①质地，底子 黑质而白章 《捕蛇者说》；玉质金相 《成语》②本质，实质 其质非不美也，所渐者然也 《劝学》；质胜文则野，文胜质则史 《论语》③询问，质问 余立侍左右，援疑质理，俯身倾耳以请 《送东阳马生序》；质疑问难 《成语》④同 “锧”，刑具，杀人时作垫用的砧板 君不如肉袒伏斧质请罪，则幸得脱矣 《廉颇蔺相如列传》；斧质 《史记》
123,治,①治理，管理 治国安邦 《成语》；治世不一道，便国不法古 《商君书》②医治，治疗 君有疾在腠理，不治将恐深 《扁鹊见蔡桓公》；治病救人 《成语》③惩处，惩办 不效，则治臣之罪 《出师表》；治罪，惩处 《日常用语》④安定，太平 天下大治 《成语》；治世 《史记》⑤研究，学习 治学严谨 《成语》；治经，治史 《日常用语》
124,诸,①众多，各个 诸郡县苦秦吏者，皆刑其长吏，杀之以应陈涉 《陈涉世家》；诸如此类 《成语》②“之于” 的合音 投诸渤海之尾，隐土之北 《愚公移山》；或取诸怀抱，悟言一室之内 《兰亭集序》③“之乎” 的合音 王尝语庄子以好乐，有诸？ 《孟子》；齐宣王问曰：“文王之囿方七十里，有诸？” 《孟子》④各位，众位 诸公，诸兄 《日常用语》；诸侯 《史记》
125,专,①独有，独占 衣食所安，弗敢专也，必以分人 《曹刿论战》；有蒋氏者，专其利三世矣 《捕蛇者说》②专门，专一 其一人专心致志，惟弈秋之为听 《孔孟论学》；然后叹借者之用心专，而少时之岁月为可惜也 《黄生借书说》③专擅，独断 专权，专政 《日常用语》；事无大小，悉以咨之，然后施行 《出师表》
126,周,①周遍，遍及 天不兼覆，地不周载 《中国古代神话三则》；周公吐哺，天下归心 《短歌行》②环绕，循环 周而复始 《成语》；周转 《日常用语》③周全，全面 计划周密 《成语》；周详 《日常用语》④朝代名 周朝，西周，东周 《历史》
127,走,①跑，逃跑 两股战战，几欲先走 《口技（林嗣环）》；覆而出之，堕地乃走 《黠鼠赋》；永之人争奔走焉 《捕蛇者说》②奔向，趋向 永之人争奔走焉 《捕蛇者说》；走马上任 《成语》③行走，步行 走街串巷 《成语》；行走 《日常用语》④离开，离去 走了，走开 《日常用语》；走为上计 《孙子兵法》
128,足,①脚 细若蚊足，钩画了了 《核舟记》；亭东自足下皆云漫 《登泰山记》；吾一瓶一钵足矣 《为学》②足够，充足 荆国有余于地，而不足于民 《公输》；今南方已定，兵甲已足 《出师表》；杀所不足而争所有余，不可谓智 《公输》③值得，够得上，配 不足为外人道也 《桃花源记》；不足挂齿 《成语》④满足，满意 知足常乐 《成语》；不足 《日常用语》
129,卒,①士卒，士兵 车六七百乘，骑千余，卒数万人 《陈涉世家》；卒皆夜惊恐 《陈涉世家》②最后，终于 卒见使于一鼠，堕此虫之计中 《黠鼠赋》；卒廷见相如，毕礼而归之 《廉颇蔺相如列传》③死亡 生卒年不详 《历史》；卒于任上 《日常用语》④同 “猝”，突然，仓促 卒然边境有急，将何以御之？ 《论积贮疏》；卒中 《医学术语》
130,作,①振作，奋发 困于心，衡于虑，而后作 《生于忧患，死于安乐》；一鼓作气，再而衰，三而竭 《曹刿论战》②发出，出现 火爆声，呼呼风声，百千齐作 《口技（林嗣环）》；拊床而止之，既止复作 《黠鼠赋》③写作，创作 自是指物作诗立就 《伤仲永》；属予作文以记之 《岳阳楼记》④建造，建筑 作亭者谁？山之僧智仙也 《醉翁亭记》⑤做，制作 若有作奸犯科及为忠善者，宜付有司论其刑赏 《出师表》；便要还家，设酒杀鸡作食 《桃花源记》⑥劳作，劳动 其中往来种作，男女衣着，悉如外人 《桃花源记》；日出而作，日入而息 《击壤歌》
131,坐,①坐着，坐下（古人两膝着地，臀部压在脚后跟上） 起坐而喧哗者，众宾欢也 《醉翁亭记》；其一犬坐于前 《狼》；与子颖坐日观亭，待日出 《登泰山记》②座位 满坐寂然，无敢哗者 《口技（林嗣环）》；请以剑舞，因击沛公于坐 《鸿门宴》③犯…… 罪，获罪 王曰：“何坐？” 曰：“坐盗。” 《橘逾淮为枳》；坐法去官 《史记》④因为，由于 停车坐爱枫林晚，霜叶红于二月花 《山行》；坐此解职 《宋史》
132,布衣,平民百姓 臣本布衣，躬耕于南阳，苟全性命于乱世，不求闻达于诸侯 《出师表》；布衣之交 《成语》
133,菲薄,轻视，小看 不宜妄自菲薄，引喻失义，以塞忠谏之路也 《出师表》；妄自菲薄 《成语》
134,间隔,断绝往来 遂与外人间隔 《桃花源记》；间隔，距离 《日常用语》
135,交通,彼此交错相通 阡陌交通，鸡犬相闻 《桃花源记》；交通要道 《日常用语》
136,节目,节骨眼儿，关键之处 如攻坚木，先其易者而后其节目 《熟读精思（课外）》；节目单，文艺节目 《日常用语》
